Time,Rla,Rlo,RCPI,DistanceDelta(m),TimeDelta(s),Speed(km/h)
15:28:06,37.4090428,127.1005626,102,0.0,0.0,0.0
15:28:07,37.4090491,127.1005799,106,1.6809374177542264,1.0,6.051374703915215
15:28:08,37.409055,127.1005962,114,1.5821166951288939,1.0,5.695620102464018
15:28:09,37.4090589,127.1006062,100,0.9839601544826717,1.0,3.5422565561376183
15:28:10,37.4090629,127.1006168,126,1.0365170942427677,1.0,3.731461539273964
15:28:11,37.4090657,127.1006242,114,0.7239667554384319,1.0,2.606280319578355
15:28:12,37.4090686,127.1006314,116,0.7130190005587558,1.0,2.566868402011521
15:28:13,37.4090715,127.1006386,104,0.7130189789601739,1.0,2.566868324256626
15:28:14,37.4090747,127.1006465,116,0.7832502726235151,1.0,2.8197009814446545
15:28:15,37.409078,127.1006537,110,0.7342067074328853,1.0,2.643144146758387
15:28:16,37.4090812,127.1006606,112,0.7057079763468007,1.0,2.5405487148484824
15:28:17,37.409084,127.1006659,122,0.5622016999183221,1.0,2.0239261197059597
15:28:18,37.4090846,127.1006672,120,0.13279725142661428,1.0,0.4780701051358114
15:28:19,37.4090845,127.1006674,118,0.0208731755879479,1.0,0.07514343211661244
15:28:20,37.4090845,127.1006676,114,0.01766483215863339,1.0,0.06359339577108021
15:28:21,37.4090829,127.1006656,114,0.2507135249863574,1.0,0.9025686899508867
15:28:22,37.4090773,127.1006597,114,0.8119748570451432,1.0,2.9231094853625152
15:28:23,37.4090717,127.1006515,122,0.9551412668043129,1.0,3.4385085604955266
15:28:24,37.409061,127.1006478,78,1.2338508644388642,1.0,4.441863111979911
15:28:25,37.4090498,127.100648,108,1.245508453804423,1.0,4.483830433695923
15:28:26,37.4090397,127.1006519,94,1.1747081256630698,1.0,4.228949252387052
15:28:27,37.4090316,127.1006587,102,1.0825657124372567,1.0,3.8972365647741243
15:28:28,37.4090289,127.1006648,112,0.6167798260279327,1.0,2.220407373700558
15:28:29,37.4090299,127.1006693,82,0.41272024414379355,1.0,1.4857928789176569
15:28:30,37.4090309,127.100668,116,0.15983831953562924,1.0,0.5754179503282653
15:28:31,37.4090313,127.1006684,118,0.0568020867367776,1.0,0.20448751225239936
15:28:32,37.4090331,127.1006685,116,0.20034565534451662,1.0,0.7212443592402599
15:28:33,37.4090329,127.1006684,102,0.023928730870528485,1.0,0.08614343113390255
15:28:34,37.40904,127.1006622,110,0.96081312598867,1.0,3.458927253559212
15:28:35,37.4090464,127.1006561,106,0.8925937651700281,1.0,3.2133375546121012
15:28:36,37.4090508,127.1006511,118,0.6590919659749593,1.0,2.3727310775098536
15:28:37,37.4090551,127.1006455,82,0.687939425857618,1.0,2.476581933087425
